Artist,Type,Tracks,Dance Var,Energy Var,Valence Var,Acoustic Var,Total Var
Bernward Koch,Ghost-like,10,0.006783611111111111,0.0013669889999999999,0.0004925133333333334,0.0008057333333333324,0.009448846777777777
Deuter,Ghost-like,22,0.008510165281385281,0.0036617529679653683,0.0002609650432900433,0.0005343571428571425,0.012967240435497835
Brian Eno,Organic,15,0.011170862571428571,0.010671516669523812,0.0006108025714285712,0.06287012380952381,0.08532330562190477
Bonobo,Organic,39,0.008224313090418352,0.025411037786774626,0.041855717975708494,0.0689980361754386,0.14448910502834006
Pink Floyd,Organic,86,0.02005494733242134,0.029669306212038303,0.029218793592339268,0.0684798924934063,0.1474229396302052
The Beatles,Organic,149,0.016173965808089972,0.037933596232541264,0.04968550535461636,0.07915263587504842,0.18294570327029602
