Playlist,Source,Tracks,Dance H,Energy H,Valence H,Acoustic H,Mean H,Mean H / Max
Editorial-style,"Kaggle genres: ['classical', 'piano']",60,2.5468905582800105,2.788015281142934,3.0464112654667526,1.985298120745461,2.5916538064087895,0.7801655341057783
Fan-curated,"Kaggle genres: ['indie', 'folk', 'acoustic']",60,2.2519956693848653,3.132532522193886,3.0700557561629784,3.1076541328118763,2.8905595201384013,0.8701451198137425
Ghost-suspect,Kaggle genres: ['ambient'],60,2.541514715421387,2.6533965503727304,2.267595350377227,2.578358994199698,2.5102164025927602,0.7556504327881531
