artist,track_count,mean_duration_ms,genres,genre_count,var_danceability,var_energy,var_valence,var_acousticness,total_variance
The Black Dog,13,225251.07692307694,idm,1,0.055759474358974354,0.0624913076923077,0.13626020923076923,0.13770913008861102,0.3922201213706623
Death Cab for Cutie,17,197224.0,"indie,indie-pop",2,0.002974992647058823,0.0698170955882353,0.10107138970588238,0.17344961433936767,0.3473130922805442
Yasuharu Takanashi,16,140353.6875,anime,1,0.014649866666666666,0.12963683895833333,0.026706926500000002,0.17463182692777818,0.3456254590527782
Ilkae,12,81659.66666666667,idm,1,0.020340992424242425,0.088134,0.08354354545454547,0.14517926346711363,0.33719780134590155
George Bruns,13,142897.23076923078,disney,1,0.05145908974358975,0.06483059807692308,0.16088482076923075,0.056511589743589746,0.33368609833333335
Reiki Armonía,15,245488.4,world-music,1,0.003754749238095237,0.1645544124142857,0.0004213373857142858,0.16442099999999996,0.33315149903809516
Susumu Yokota,26,278322.92307692306,idm,1,0.03881197538461538,0.08709652486153846,0.058207527953846164,0.1476200399053846,0.3317360681053846
The Wiggles,50,129139.7,children,1,0.028569469387755102,0.06332256792244896,0.11767683405714287,0.11345777609081632,0.32302664745816323
Rei Harakami,27,252631.85185185185,idm,1,0.02180939601139601,0.04494497720797722,0.09502219635327633,0.1604165630233618,0.32219313259601134
Rain Sounds,43,137096.90697674418,sleep,1,0.011591756378737543,0.21115798103987485,0.0004487593372093024,0.09216552886922777,0.31536402562504945
KT Tunstall,27,230299.40740740742,"acoustic,singer-songwriter,songwriter",3,0.011804310541310545,0.10093190028490032,0.06979197720797721,0.12218245584045583,0.3047106438746439
Plaid,28,238049.89285714287,idm,1,0.02030275661375661,0.06414203231574073,0.08469739506613755,0.13173543020270986,0.30087761419834474
Kelpe,12,231015.58333333334,idm,1,0.03182554545454546,0.08078862810606062,0.030091785151515157,0.1541971462878788,0.29690310500000006
Aphex Twin,15,288935.4,"ambient,electronic",2,0.03905749523809524,0.07455992971428571,0.05111062352380953,0.12889724457142854,0.29362529304761903
Martin Shamoonpour,12,256986.41666666666,iranian,1,0.021537356060606062,0.1097394062878788,0.08606630446969697,0.07132808333333333,0.2886711501515152
Nature Sounds,35,307377.17142857146,sleep,1,0.020954189882352942,0.12840890214000003,0.0003455210416806722,0.13891402156158894,0.2886226346256226
Alireza Mashayekhi,13,568307.7692307692,iranian,1,0.02196009141025641,0.04904838969701244,0.11148906243589742,0.10516445076923077,0.28766199431239703
Catie Turner,22,182993.81818181818,"singer-songwriter,songwriter",2,0.012608831168831172,0.06673310822510825,0.034426943722943734,0.17235056277056277,0.2861194458874459
Bogdan Raczynski,20,197205.05,idm,1,0.01633877894736842,0.0917651739736842,0.03792071186842105,0.13990549467362273,0.2859301594630964
Silent Knights,25,148291.04,sleep,1,0.01784841666666667,0.13918437356050667,0.0011231324906666666,0.1246645634201005,0.28282048613794053
Aitana,11,191849.63636363635,"latin,spanish",2,0.025732563636363632,0.036343018181818176,0.06887965454545456,0.1517213684218182,0.28267660478545453
alva noto,14,318612.4285714286,idm,1,0.09203928554945057,0.034569277637362644,0.004495016318681319,0.14843843892582417,0.2795420184313187
The Velvet Underground,13,269535.1538461539,"alt-rock,alternative,folk,psych-rock",4,0.00664676923076923,0.07185873076923076,0.041646730769230776,0.15881175762564104,0.2789639883948718
Yura Yunita,10,221440.9,"j-pop,jazz,singer-songwriter,songwriter",4,0.02772801111111111,0.07775389566666667,0.03683490000000001,0.13642587777777776,0.27874268455555556
Boards of Canada,19,274386.4736842105,"ambient,trip-hop",2,0.03336533473684211,0.05559827766081872,0.08565760730994154,0.10314869496711113,0.2777699146747135
Clairo,10,188601.5,"indie,indie-pop",2,0.012276011111111106,0.054576487111111106,0.08482943333333333,0.1259697333333333,0.27765166488888887
Casino Versus Japan,30,234290.06666666668,idm,1,0.03327860998850574,0.035705750678160925,0.09227291775862069,0.11598161245770397,0.2772388908829913
Mouse On Mars,10,261308.3,idm,1,0.019627566666666665,0.046010622222222214,0.06199071111111111,0.14241479141777777,0.27004369141777773
Ed Sheeran,13,236745.3076923077,pop,1,0.012989269230769233,0.0582965641025641,0.08265306410256408,0.11529355415256409,0.2692324515884615
White Noise Baby Sleep,10,364155.5,sleep,1,0.005261527111111112,0.09447371292105344,0.000986271521111111,0.16839742597798474,0.2691189375312604
Datassette,14,254206.42857142858,idm,1,0.01676048901098901,0.04605264285714286,0.056988218021978024,0.14823036489747804,0.2680317147875879
Bethel Music;Jonathan David Helser;Melissa Helser,14,363020.4285714286,"ambient,world-music",2,0.0023581098901098896,0.07449257142857144,0.012717054945054948,0.17799770604395604,0.2675654423076923
Canned Heat,10,183285.1,"blues,country,folk,psych-rock",4,0.0070404000000000005,0.046735655555555554,0.04597555555555556,0.1645388888888889,0.26429050000000004
告五人,16,296067.5625,mandopop,1,0.013261583333333334,0.059581,0.051529466666666676,0.13815937716666665,0.26253142716666666
Ocean Waves For Sleep,16,144370.9375,sleep,1,0.0031460206666666666,0.12712845730666666,3.137253291666667e-05,0.125946032785,0.25625188329125
Karunesh,15,364577.26666666666,new-age,1,0.044506993142857144,0.03095363809523809,0.058500301238095236,0.11411616282666667,0.24807709530285715
arai tasuku,37,143202.7027027027,idm,1,0.0315625840840841,0.07450684537132132,0.027048541396396397,0.1142564832718048,0.24737445412360662
j-hope,10,144969.2,k-pop,1,0.007664766666666668,0.03497605555555555,0.10187248888888889,0.10280347993444444,0.24731679104555554
Siavash Amini,13,379867.23076923075,iranian,1,0.03735482089743591,0.07317807692307693,0.00634343923076923,0.13039581461725638,0.24727215166853844
Kettel,11,158934.63636363635,idm,1,0.023980472727272727,0.04631149090909091,0.06197532818181818,0.11484078982727272,0.24710808164545453
Gal Costa,11,242082.18181818182,"mpb,samba",2,0.02122167272727273,0.05437007272727272,0.06152005454545455,0.1088479,0.2459597
Hanare Gumi,13,285178.6153846154,"acoustic,j-rock",2,0.01015180769230769,0.06418712064102562,0.027413897435897436,0.14391773076923076,0.2456705565384615
Connie Francis,19,156325.31578947368,"r-n-b,rock-n-roll,rockabilly",3,0.021025988304093565,0.06747565497076022,0.1315242865497076,0.019536040935672513,0.2395619707602339
Nine Inch Nails,25,293392.96,"electronic,industrial,metal",3,0.018307026666666667,0.0715931606,0.062311731766666656,0.08731088599782333,0.23952280503115664
Lana Del Rey,14,267747.21428571426,pop,1,0.022284879120879123,0.0575412967032967,0.016746093021978024,0.14037115500000003,0.23694342384615386
Frank Ocean,17,243549.58823529413,soul,1,0.023107014705882355,0.032954153823529425,0.04767325735294118,0.13214659097647058,0.23588101685882354
ABBA,71,232635.87323943662,swedish,1,0.016089049094567407,0.07853716740442655,0.03617448531187123,0.104804444249497,0.2356051460603622
Pink Noise,11,193657.9090909091,sleep,1,0.007995072727272729,0.1132303665803609,0.003736095999999999,0.10774480281818674,0.23270633812582037
Cory Asbury,11,257019.45454545456,world-music,1,0.01165121818181818,0.05637673454545454,0.022745272727272732,0.14159286563636364,0.23236609109090908
Maisie Peters,30,189315.73333333334,"indie,indie-pop",2,0.021103178160919545,0.054993334482758616,0.027388217241379312,0.1286947609195402,0.23217949080459768
White Noise for Babies,38,182002.31578947368,sleep,1,0.005548146635846372,0.10444904878744807,0.00015931302588904694,0.12175685589452345,0.23191336434370693
Marisa Monte,12,200092.91666666666,mpb,1,0.01719353787878788,0.04318536363636363,0.0689009696969697,0.09946474062045456,0.22874461183257577
Alan Menken,53,125449.7358490566,"disney,show-tunes",2,0.020208654390420897,0.04565258965166908,0.02272763062409289,0.13984913537329466,0.22843801003947753
The Magnetic Fields,14,160763.5,club,1,0.01531356593406593,0.041898796703296694,0.05706969230769231,0.11355425917582421,0.22783631412087912
