artist,track_count,mean_duration_ms,genres,genre_count,var_danceability,var_energy,var_valence,var_acousticness,total_variance
Kacey Musgraves;Camila Cabello,13,124240.0,country,1,1.3353114281084834e-32,0.0,1.3353114281084834e-32,0.0,2.670622856216967e-32
Topic;Robin Schulz;Nico Santos;Paul van Dyk,13,150476.0,"edm,electro,german,house",4,1.3353114281084834e-32,1.3353114281084834e-32,0.0,0.0,2.670622856216967e-32
Mariah Angeliq;Guaynaa,14,173653.0,"latin,latino",2,1.327410177054587e-32,1.327410177054587e-32,0.0,2.0740784016477924e-34,2.675561138125652e-32
Kacey Musgraves;Leon Bridges,11,230480.0,country,1,1.3558546808486142e-32,0.0,1.3558546808486142e-32,0.0,2.7117093616972283e-32
Brandi Carlile;Lucius,15,230098.0,"acoustic,folk",2,1.3206376761512474e-32,0.0,1.3206376761512474e-32,8.253985475945296e-34,2.7238152070619476e-32
Juan Magán;Maffio,10,168746.0,"electro,latin,latino,reggae,reggaeton",5,0.0,1.3695501826753678e-32,1.3695501826753678e-32,0.0,2.7391003653507356e-32
Rudimental;Anne-Marie;Tion Wayne,10,206657.0,"edm,funk,house",3,1.3695501826753678e-32,1.3695501826753678e-32,0.0,0.0,2.7391003653507356e-32
MEDUZA;James Carter;Elley Duhé;FAST BOY,15,148629.0,"edm,electro,house",3,0.0,1.3206376761512474e-32,1.3206376761512474e-32,3.3015941903781185e-33,2.9714347713403066e-32
Chris Jedi;J Balvin;Ozuna;Arcangel,12,270493.0,"latin,latino,reggae,reggaeton",4,1.3446492702630882e-32,0.0,1.3446492702630882e-32,3.3616231756577205e-33,3.025460858091948e-32
Charli XCX;Rina Sawayama,15,168053.0,electro,1,1.3206376761512474e-32,1.3206376761512474e-32,3.3015941903781185e-33,3.3015941903781185e-33,3.3015941903781184e-32
Joey Montana;Sebastian Yatra,23,195760.0,"latin,latino,reggae,reggaeton",4,1.2886222173354596e-32,1.2886222173354596e-32,1.2886222173354596e-32,8.053888858346622e-34,3.946405540589845e-32
Don Omar;Zion & Lennox,20,212026.0,"hip-hop,latin,latino,reggae,reggaeton",5,1.2974685941135062e-32,1.2974685941135062e-32,1.2974685941135062e-32,8.109178713209414e-34,3.9734975694726125e-32
NEIKED;Anne-Marie;Latto,13,150560.0,house,1,1.3353114281084834e-32,1.3353114281084834e-32,1.3353114281084834e-32,2.0864241064195054e-34,4.026798525389645e-32
Topic;Bebe Rexha,12,146880.0,"edm,electro,german,house",4,1.3446492702630882e-32,1.3446492702630882e-32,1.3446492702630882e-32,2.1010144847860753e-34,4.0549579556371254e-32
Kacey Musgraves;Lana Del Rey,13,132108.0,country,1,1.3353114281084834e-32,8.345696425678021e-34,1.3353114281084834e-32,1.3353114281084834e-32,4.0893912485822304e-32
Burna Boy;Ed Sheeran,37,159123.0,"dance,dancehall,hip-hop",3,1.266833918974715e-32,1.266833918974715e-32,1.266833918974715e-32,3.1670847974367875e-33,4.117210236667824e-32
Afrojack;Black V Neck;Muni Long,11,179199.0,"edm,electro,house,progressive-house",4,1.3558546808486142e-32,1.3558546808486142e-32,1.3558546808486142e-32,8.474091755303838e-34,4.152304960098881e-32
Joey Montana;Lalo Ebratt,11,204880.0,"latin,latino,reggae,reggaeton",4,1.3558546808486142e-32,1.3558546808486142e-32,1.3558546808486142e-32,8.474091755303838e-34,4.152304960098881e-32
Alejo;Feid;ROBI,44,240413.0,"latin,latino,reggae,reggaeton",4,5.045040672925076e-32,0.0,1.261260168231269e-32,0.0,6.306300841156345e-32
Justin Quiles;Robin Schulz,37,161880.0,"hip-hop,latin,latino,reggae,reggaeton",5,0.0,5.06733567589886e-32,1.266833918974715e-32,1.9794279983979922e-34,6.353963874857555e-32
