danceability,energy,valence,acousticness,artist,group,PC1,PC2
0.336,0.628,0.312,0.245,Bonobo,Organic,0.15671169364336376,-1.1371341944517228
0.693,0.59,0.237,0.23,Bonobo,Organic,0.9206844083356367,-0.13594373504285567
0.711,0.836,0.321,0.152,Bonobo,Organic,1.7937837693153964,-0.42735307837723274
0.742,0.761,0.509,0.0107,Bonobo,Organic,2.2304969126974314,-0.16733839829369215
0.192,0.0119,0.0753,0.969,Brian Eno,Organic,-3.1436754031154384,0.20863795028322932
0.257,0.0906,0.0451,0.932,Brian Eno,Organic,-2.782386190204245,0.17999276400143555
0.466,0.0155,0.0938,0.956,Brian Eno,Organic,-2.353554859609636,1.0564686745658303
0.377,0.261,0.0457,0.132,Brian Eno,Organic,-0.8484844810193254,-1.149604568022745
0.101,0.241,0.0369,0.819,Brian Eno,Organic,-2.693407756234392,-0.7331641972355292
0.108,0.24,0.0381,0.531,Brian Eno,Organic,-2.235891840281857,-1.234148790404204
0.154,0.208,0.0456,0.84,Brian Eno,Organic,-2.6456123042546613,-0.47017968229017776
0.143,0.13,0.0367,0.918,Brian Eno,Organic,-2.988428474343107,-0.2669262040259566
0.179,0.27,0.119,0.39,Brian Eno,Organic,-1.6282430893799513,-1.1784280909635962
0.0791,0.0979,0.0337,0.942,Brian Eno,Organic,-3.274540276476026,-0.3801577865234732
0.202,0.273,0.0478,0.603,Brian Eno,Organic,-2.00264897339106,-0.8426746456290671
0.263,0.0639,0.0537,0.907,Brian Eno,Organic,-2.7755462081888953,0.20490642880336948
0.155,0.167,0.0367,0.913,Brian Eno,Organic,-2.863494574574551,-0.2910856039874098
0.26,0.00397,0.0368,0.982,Brian Eno,Organic,-3.0640356811279927,0.3884571296567498
0.144,0.275,0.039,0.798,Brian Eno,Organic,-2.464768035852024,-0.6831324582230781
