danceability,energy,valence,acousticness,artist,group,PC1,PC2
0.417,0.163,0.216,0.676,The Beatles,Organic,-1.5150365623467426,0.3923572747563149
0.631,0.387,0.832,0.742,The Beatles,Organic,0.49206728925491383,1.8965015805746632
0.422,0.656,0.549,0.0126,The Beatles,Organic,1.1976975463661204,-0.9361064314560386
0.705,0.515,0.803,0.365,The Beatles,Organic,1.5114355106141322,1.2073025480421187
0.59,0.805,0.797,0.137,The Beatles,Organic,2.2106063174971764,0.017923817822804514
0.491,0.801,0.971,0.27,The Beatles,Organic,2.0225219543060753,0.2543140527485549
0.52,0.829,0.744,0.386,The Beatles,Organic,1.6116170738543667,0.13360501006706146
0.616,0.636,0.654,0.208,The Beatles,Organic,1.5453802249237412,0.2245256504914241
0.419,0.152,0.239,0.326,The Beatles,Organic,-0.9632699522271392,-0.18647620909154272
0.496,0.703,0.936,0.525,The Beatles,Organic,1.3631943149303707,0.8143555806334397
0.299,0.329,0.392,0.756,The Beatles,Organic,-1.2778831651617133,0.2375229954640072
0.364,0.457,0.175,0.29,The Beatles,Organic,-0.4582028398120081,-0.9589202548404149
0.29,0.247,0.36,0.921,The Beatles,Organic,-1.7954991951698522,0.5725342432369883
0.704,0.241,0.661,0.625,The Beatles,Organic,0.24559670641371173,1.8251972698526586
0.534,0.624,0.687,0.00797,The Beatles,Organic,1.6585143089195817,-0.32132276540382
0.48,0.969,0.494,0.069,The Beatles,Organic,1.8968352700006414,-1.187198923197607
0.4,0.48,0.653,0.346,The Beatles,Organic,0.39719551597590663,0.02787213367084462
0.665,0.782,0.731,0.12,The Beatles,Organic,2.2743942324863964,0.13939253824280065
0.377,0.916,0.912,0.26,The Beatles,Organic,1.900820926891841,-0.3769578397560098
0.626,0.512,0.73,0.155,The Beatles,Organic,1.4929611849348767,0.4611499345210922
0.423,0.819,0.144,0.0381,The Beatles,Organic,0.8663944101628975,-1.798496156142718
0.398,0.392,0.378,0.207,The Beatles,Organic,-0.05448707032955126,-0.5719500689118117
0.401,0.189,0.357,0.871,The Beatles,Organic,-1.5616272665435247,0.9002548414725908
0.483,0.351,0.713,0.783,The Beatles,Organic,-0.24555942169762984,1.3647607124049066
0.754,0.571,0.82,0.0173,The Beatles,Organic,2.329634696856509,0.6733177046146049
0.519,0.85,0.749,0.0457,The Beatles,Organic,2.1845280616918425,-0.5121323129255428
0.651,0.488,0.49,0.212,The Beatles,Organic,1.0199606740296288,0.2715815078406679
0.761,0.592,0.332,0.492,The Beatles,Organic,0.8646393729563581,0.7097353926736393
0.37,0.515,0.42,0.0233,The Beatles,Organic,0.5039441637234024,-1.0961069864954986
0.727,0.338,0.646,0.79,The Beatles,Organic,0.254119203522645,2.0357747853159243
0.451,0.673,0.583,0.0857,The Beatles,Organic,1.2591345358158754,-0.67971309292646
0.401,0.556,0.654,0.0828,The Beatles,Organic,0.9780228116615205,-0.554996884527496
0.689,0.313,0.625,0.789,The Beatles,Organic,0.061812148453688646,1.9164668757833287
0.652,0.583,0.744,0.412,The Beatles,Organic,1.3573126587378253,0.9344818244800471
0.604,0.549,0.696,0.531,The Beatles,Organic,0.8898726335506479,0.9706368844485963
0.483,0.677,0.842,0.283,The Beatles,Organic,1.4818885650116962,0.21036357310186296
0.455,0.502,0.674,0.699,The Beatles,Organic,0.0912268251708704,0.8467611845932697
0.479,0.733,0.806,0.306,The Beatles,Organic,1.5055875566674322,0.10055724617937598
0.655,0.695,0.33,0.101,The Beatles,Organic,1.411997163766933,-0.47975354227518363
0.699,0.294,0.893,0.587,The Beatles,Organic,0.7966001804222643,2.056894499896277
0.564,0.827,0.912,0.0904,The Beatles,Organic,2.453438970874207,0.015496528236630919
0.493,0.762,0.708,0.00216,The Beatles,Organic,1.9107868714246643,-0.6171916042117156
0.647,0.56,0.913,0.723,The Beatles,Organic,1.0966409781590765,1.8043253363397225
0.605,0.314,0.836,0.916,The Beatles,Organic,-0.0042799661067340795,2.243520799988448
0.552,0.734,0.846,0.221,The Beatles,Organic,1.8986035236186463,0.23658170319549554
0.665,0.31,0.568,0.68,The Beatles,Organic,0.06263649448200911,1.5514639601630666
0.494,0.47,0.698,0.21,The Beatles,Organic,0.9069584472795922,0.15945020536070806
0.352,0.479,0.354,0.339,The Beatles,Organic,-0.21777469809671612,-0.6356539333366072
0.543,0.458,0.704,0.226,The Beatles,Organic,0.9956311989775087,0.36686427885215844
0.407,0.834,0.71,0.0734,The Beatles,Organic,1.7418692693302404,-0.8503608454688261
0.764,0.426,0.726,0.629,The Beatles,Organic,0.9337023712918673,1.8669406877486743
0.381,0.214,0.393,0.944,The Beatles,Organic,-1.6090771334145557,0.9973879371778652
0.633,0.385,0.647,0.411,The Beatles,Organic,0.6911066519742206,0.9890724199614684
0.328,0.249,0.162,0.754,The Beatles,Organic,-1.7627514639210538,0.04817969378790608
0.641,0.722,0.698,0.117,The Beatles,Organic,2.021960885072997,0.08864166785339672
0.619,0.625,0.467,0.0119,The Beatles,Organic,1.5173340842353846,-0.42414135169647704
0.388,0.529,0.332,0.16,The Beatles,Organic,0.23006466123330713,-0.9589347911829608
0.378,0.677,0.648,0.0635,The Beatles,Organic,1.2150096718491499,-0.8415620497953069
0.469,0.596,0.783,0.0101,The Beatles,Organic,1.5762325422113688,-0.3167715454503671
0.673,0.349,0.609,0.608,The Beatles,Organic,0.3515725230042115,1.45889300104949
0.335,0.416,0.223,0.345,The Beatles,Organic,-0.6344737746963021,-0.8093506423285074
0.431,0.54,0.44,0.523,The Beatles,Organic,-0.004442514453573211,0.003327394886749928
0.667,0.498,0.774,0.00772,The Beatles,Organic,1.8675810574488754,0.4125310747178157
0.512,0.0953,0.193,0.828,The Beatles,Organic,-1.687367901126816,1.0195800835533952
0.44,0.609,0.364,0.0715,The Beatles,Organic,0.7411975155124968,-1.0187294057296934
0.38,0.829,0.0534,8.4e-05,The Beatles,Organic,0.6825791810372546,-2.1674082152073058
0.527,0.48,0.706,0.334,The Beatles,Organic,0.8422624007333452,0.4871701136788871
0.364,0.483,0.7,0.281,The Beatles,Organic,0.4849760407939028,-0.126917933349851
0.581,0.821,0.968,0.507,The Beatles,Organic,1.94249494178272,0.931688072725555
0.726,0.702,0.931,0.0974,The Beatles,Organic,2.618537543631264,0.7360363506644856
0.569,0.557,0.292,0.038,The Beatles,Organic,0.8975034993604979,-0.7300899493611415
0.437,0.669,0.514,0.0344,The Beatles,Organic,1.1764887784435647,-0.9272968506842013
