playlist_id,playlist_name,playlist_type,track_count,n_artists,mean_danceability,std_danceability,mean_energy,std_energy,mean_valence,std_valence,mean_acousticness,std_acousticness,mean_speechiness,std_speechiness,mean_instrumentalness,std_instrumentalness,mean_liveness,std_liveness,mean_tempo,std_tempo
GHOST_AMBIENT_LV1,Low-var ambient (ghost pattern 1),ghost_suspect,60,56,0.34971500000000005,0.1871191932513895,0.22068416666666663,0.22219956788232148,0.16843166666666665,0.15834921233786609,0.7952628333333335,0.3139109494804228,0.03975666666666666,0.011966058873821045,0.7255123933333333,0.327632531218502,0.12652666666666665,0.0962349224231272,107.5842,32.53378298031401
GHOST_AMBIENT_LV2,Low-var ambient (ghost pattern 2),ghost_suspect,60,56,0.34511833333333336,0.16967152162756258,0.23693250000000002,0.22331185696184105,0.149805,0.13894089393866219,0.7769160199999999,0.33586773961185457,0.03954833333333333,0.00896527182354537,0.8221923333333333,0.19482199750825713,0.14165166666666668,0.1445993781683264,104.70646666666667,31.472259788887243
GHOST_CALMO,Calmo catalog (ghost-suspect),ghost_suspect,60,1,0.3907166666666667,0.23697021851548528,0.37431115833333334,0.23347658105454405,0.3166491666666666,0.2557453536817478,0.43211507483333317,0.3005968677203668,0.051245,0.06149064535440896,0.31196486633333337,0.37839631500762966,0.23239833333333332,0.18655685323434398,101.80591666666668,57.486426100189945
GHOST_CHILL_LV,Low-var chill (ghost pattern),ghost_suspect,60,59,0.65955,0.12512535070812192,0.4445116666666667,0.21257449588852348,0.4342183333333333,0.22085624705129334,0.522585,0.3070480445070335,0.114875,0.09472598774484901,0.22522642033333334,0.3390137769583172,0.17607833333333336,0.13495994772042766,122.51101666666665,31.455482355007028
GHOST_CLASSICAL_LV,Low-var classical (ghost pattern),ghost_suspect,60,59,0.356365,0.1496511840575627,0.15633816666666667,0.17295428268756963,0.27399333333333337,0.23587833323642823,0.9268,0.12067547178911471,0.06835666666666666,0.11445085595738694,0.6597366764999999,0.38017213407977374,0.13942833333333335,0.12380793776976604,105.91198333333332,30.205264934765573
GHOST_MRC,Meditation Relax Club catalog (ghost-suspect),ghost_suspect,60,1,0.38142000000000004,0.22992808219756639,0.3546444916666667,0.20901955091242289,0.28323750000000003,0.26291908017632104,0.43146340816666656,0.31675992258479907,0.05568,0.0854960100169216,0.38886755199999995,0.3864185674612682,0.2437766666666667,0.22196565268471471,95.54986666666667,50.67398595591121
GHOST_NEWAGE_LV,Low-var new-age (ghost pattern),ghost_suspect,60,49,0.33442500000000003,0.14385623782449253,0.20816966666666667,0.17905754369037172,0.15088333333333334,0.13164322633370856,0.8385333333333332,0.22549414413582455,0.044053333333333326,0.042542937300147646,0.7052786900000001,0.34482724581245044,0.13183333333333333,0.07994586869190899,103.94353333333332,28.01175748331323
GHOST_PIANO_LV,Low-var piano (ghost pattern),ghost_suspect,60,55,0.46625,0.1272326875439681,0.24968199999999996,0.2957968391712948,0.28578333333333333,0.2041146472182718,0.7771383333333332,0.33157833396725,0.047536666666666665,0.021121400238208615,0.6198678315,0.4238704653932792,0.117195,0.03680227712648927,105.12935000000002,26.235300614497458
GHOST_RWN,Relaxing White Noise catalog (ghost-suspect),ghost_suspect,60,1,0.40231999999999996,0.24578764763269442,0.37792782499999994,0.2233770340368496,0.2676591666666666,0.2255855711539484,0.38484674149999987,0.2782297110155933,0.05677000000000001,0.07156228838322647,0.39834609616666666,0.38445314396026914,0.23447833333333332,0.21293336197327772,92.88401666666667,49.21614491734538
GHOST_SLEEP_LV,Low-var sleep (ghost pattern),ghost_suspect,60,57,0.15611833333333333,0.10851446906830049,0.18845588166666666,0.34134799455976056,0.05262883333333334,0.047435640719613203,0.783208,0.3270473607583205,0.04522166666666667,0.03071670495474468,0.8137208333333331,0.26146378128341713,0.26751166666666665,0.29451382868264564,77.20355,42.4645627343294
KAGGLE_ACOUSTIC,Acoustic (fan-curated proxy),fan_curated,60,51,0.5357500000000001,0.1260459460215781,0.4038866666666666,0.24868332491422798,0.3808633333333334,0.21991831223546887,0.5921481149999999,0.33116570137156764,0.044239999999999995,0.028806126937728757,0.04006182833333335,0.147598167796179,0.14284499999999997,0.09995995202317064,119.74008333333333,31.82603290415987
KAGGLE_ALT,Alternative (fan-curated proxy),fan_curated,60,39,0.5879499999999999,0.17163998832795446,0.7068333333333334,0.20729093340869087,0.4748833333333334,0.1755710384659799,0.17043647666666667,0.23294400228021436,0.09177999999999999,0.07257352040797511,0.009672644000000001,0.03044823372875954,0.19909166666666672,0.13541390196221645,118.01884999999999,32.27096856509983
KAGGLE_AMBIENT,Ambient (editorial proxy),editorial,60,42,0.34669333333333335,0.15714853803217427,0.25775816666666673,0.20544678769586064,0.20199666666666666,0.16953799830733077,0.7423470866666666,0.29806792809255117,0.04249333333333334,0.022728268567807703,0.5725946258333334,0.4180213212288999,0.14392499999999997,0.12138025503993358,108.8322,34.236195912156965
KAGGLE_BLUES,Blues (fan-curated proxy),fan_curated,60,49,0.5654833333333332,0.18296489351754616,0.5681516666666666,0.23681323792852477,0.5826166666666668,0.2530419735843843,0.36817536666666667,0.3251881643770482,0.05710166666666667,0.0421365033246635,0.041570018,0.11758571635454054,0.16443333333333332,0.10672149508943499,120.15473333333335,32.34987429146281
KAGGLE_CHILL,Chill (editorial proxy),editorial,60,54,0.6678833333333333,0.13368646492429517,0.42236000000000007,0.1818405142155331,0.3943066666666667,0.20724119892307477,0.5713101666666667,0.31600669623612954,0.09934166666666666,0.10764983769842469,0.13880020683333336,0.29282694806953946,0.16548,0.11718220753472715,116.38104999999999,26.97345054780876
KAGGLE_CLASSICAL,Classical (editorial proxy),editorial,60,49,0.38391666666666674,0.14747539773756538,0.21429466666666663,0.18795512493151814,0.41382833333333324,0.27650478715423543,0.8851342683333334,0.1951370498171056,0.050138333333333326,0.03876167551461837,0.5321082161666667,0.4149421285570001,0.17295166666666667,0.1477703790088845,111.00189999999999,32.93571707345041
