resample,ghost_custom_frac,organic_custom_frac,separation
0,1.0,0.26666666666666666,0.7333333333333334
1,1.0,0.36666666666666664,0.6333333333333333
2,1.0,0.13333333333333333,0.8666666666666667
3,1.0,0.23333333333333334,0.7666666666666666
4,1.0,0.23333333333333334,0.7666666666666666
5,1.0,0.3333333333333333,0.6666666666666667
6,1.0,0.3,0.7
7,1.0,0.26666666666666666,0.7333333333333334
8,1.0,0.16666666666666666,0.8333333333333334
9,1.0,0.3333333333333333,0.6666666666666667
10,1.0,0.26666666666666666,0.7333333333333334
11,1.0,0.36666666666666664,0.6333333333333333
12,1.0,0.3333333333333333,0.6666666666666667
13,1.0,0.3333333333333333,0.6666666666666667
14,1.0,0.2,0.8
15,1.0,0.23333333333333334,0.7666666666666666
16,1.0,0.3333333333333333,0.6666666666666667
17,1.0,0.26666666666666666,0.7333333333333334
18,1.0,0.2,0.8
19,1.0,0.1,0.9
20,1.0,0.23333333333333334,0.7666666666666666
21,1.0,0.3333333333333333,0.6666666666666667
22,1.0,0.3,0.7
23,1.0,0.3333333333333333,0.6666666666666667
24,1.0,0.36666666666666664,0.6333333333333333
25,1.0,0.3333333333333333,0.6666666666666667
26,1.0,0.36666666666666664,0.6333333333333333
27,1.0,0.3,0.7
28,1.0,0.23333333333333334,0.7666666666666666
29,1.0,0.16666666666666666,0.8333333333333334
30,1.0,0.23333333333333334,0.7666666666666666
31,1.0,0.36666666666666664,0.6333333333333333
32,1.0,0.3333333333333333,0.6666666666666667
33,1.0,0.3,0.7
34,1.0,0.13333333333333333,0.8666666666666667
35,1.0,0.2,0.8
36,1.0,0.3,0.7
37,1.0,0.43333333333333335,0.5666666666666667
38,1.0,0.3333333333333333,0.6666666666666667
39,1.0,0.13333333333333333,0.8666666666666667
40,1.0,0.3,0.7
41,1.0,0.23333333333333334,0.7666666666666666
42,1.0,0.2,0.8
43,1.0,0.2,0.8
44,1.0,0.3333333333333333,0.6666666666666667
45,1.0,0.13333333333333333,0.8666666666666667
46,1.0,0.43333333333333335,0.5666666666666667
47,1.0,0.26666666666666666,0.7333333333333334
48,1.0,0.4666666666666667,0.5333333333333333
49,1.0,0.3333333333333333,0.6666666666666667
50,1.0,0.3333333333333333,0.6666666666666667
51,1.0,0.16666666666666666,0.8333333333333334
52,1.0,0.3333333333333333,0.6666666666666667
53,1.0,0.16666666666666666,0.8333333333333334
54,1.0,0.26666666666666666,0.7333333333333334
55,1.0,0.3,0.7
56,1.0,0.36666666666666664,0.6333333333333333
57,1.0,0.3,0.7
58,1.0,0.3,0.7
59,1.0,0.26666666666666666,0.7333333333333334
60,1.0,0.26666666666666666,0.7333333333333334
61,1.0,0.3333333333333333,0.6666666666666667
62,1.0,0.2,0.8
63,1.0,0.26666666666666666,0.7333333333333334
64,1.0,0.23333333333333334,0.7666666666666666
65,1.0,0.26666666666666666,0.7333333333333334
